"","date","variant","immEvasionVOC","pointa","lowera","uppera","pointC","lowerC","upperC","refDate"
"698",2021-12-25,"Omicron",0.8,1.72633056856288,1.63585974029473,1.81680139683103,0.00408294722500687,0.00382586292410049,0.00434003152591324,2021-12-03
"699",2021-12-26,"Omicron",0.8,1.72633056856288,1.63585974029473,1.81680139683103,0.00408294722500687,0.00382586292410049,0.00434003152591324,2021-12-03
"700",2021-12-27,"Omicron",0.8,1.78250763912394,1.68046006800085,1.88455521024703,0.00405523542157127,0.0037905201084357,0.00431995073470683,2021-12-03
"701",2021-12-28,"Omicron",0.8,1.87141510190424,1.75609418828399,1.98673601552449,0.0042662824942449,0.00398563229265175,0.00454693269583805,2021-12-03
"702",2021-12-29,"Omicron",0.8,1.95887852879818,1.83479274986237,2.08296430773398,0.004166970525784,0.00389884588620206,0.00443509516536594,2021-12-03
"703",2021-12-30,"Omicron",0.8,1.95887852879818,1.83479274986237,2.08296430773398,0.004166970525784,0.00389884588620206,0.00443509516536594,2021-12-03
"704",2021-12-31,"Omicron",0.8,1.76919649753517,1.705549370034,1.83284362503633,0.00697231452907291,0.00641703648612888,0.00752759257201694,2021-12-03
"705",2022-01-01,"Omicron",0.8,1.76919649753517,1.705549370034,1.83284362503633,0.00697231452907291,0.00641703648612888,0.00752759257201694,2021-12-03
"706",2022-01-02,"Omicron",0.8,1.76919649753517,1.705549370034,1.83284362503633,0.00697231452907291,0.00641703648612888,0.00752759257201694,2021-12-03
"707",2022-01-03,"Omicron",0.8,1.86519989209051,1.81092524044057,1.91947454374045,0.00676264129726883,0.00631371558978478,0.00721156700475289,2021-12-03
"708",2022-01-04,"Omicron",0.8,1.87741208691019,1.81007395182802,1.94475022199236,0.00670293207319938,0.00615284975598234,0.00725301439041642,2021-12-03
"709",2022-01-05,"Omicron",0.8,1.82314511627504,1.75289781189149,1.89339242065858,0.00680120912708169,0.00620185709186054,0.00740056116230285,2021-12-03
"710",2022-01-06,"Omicron",0.8,1.69123675049187,1.64053857501615,1.74193492596759,0.00769524688592219,0.00704938770849608,0.00834110606334829,2021-12-03
"711",2022-01-07,"Omicron",0.8,1.70620656799669,1.66276623711311,1.74964689888026,0.00775215460173511,0.00718908634787926,0.00831522285559095,2021-12-03
"712",2022-01-08,"Omicron",0.8,1.69993097960833,1.65861394347873,1.74124801573793,0.00762845635320203,0.0071002200662135,0.00815669264019055,2021-12-03
"713",2022-01-09,"Omicron",0.8,1.69993097960833,1.65861394347873,1.74124801573793,0.00762845635320203,0.0071002200662135,0.00815669264019055,2021-12-03
"714",2022-01-10,"Omicron",0.8,1.69993097960833,1.65861394347873,1.74124801573793,0.00762845635320203,0.0071002200662135,0.00815669264019055,2021-12-03
"715",2022-01-11,"Omicron",0.8,1.69933791688464,1.66288043290625,1.73579540086304,0.00772370295376312,0.00724968898336557,0.00819771692416067,2021-12-03
"716",2022-01-12,"Omicron",0.8,1.69369840973464,1.65723691419329,1.73015990527599,0.00769383830439356,0.00722026758150449,0.00816740902728263,2021-12-03
"717",2022-01-13,"Omicron",0.8,1.63919717237864,1.58736742512997,1.6910269196273,0.0108201728944745,0.00938484816255073,0.0122554976263983,2021-12-03
"718",2022-01-14,"Omicron",0.8,1.62407704645831,1.57318988346836,1.67496420944827,0.0114284894927153,0.009929846094893,0.0129271328905377,2021-12-03
"719",2022-01-15,"Omicron",0.8,1.63918384778447,1.58571119679702,1.69265649877193,0.010919530617191,0.00941905531087837,0.0124200059235037,2021-12-03
"720",2022-01-16,"Omicron",0.8,1.63918384778447,1.58571119679702,1.69265649877193,0.010919530617191,0.00941905531087837,0.0124200059235037,2021-12-03
"721",2022-01-17,"Omicron",0.8,1.63918384778447,1.58571119679702,1.69265649877193,0.010919530617191,0.00941905531087837,0.0124200059235037,2021-12-03
"722",2022-01-18,"Omicron",0.8,1.63918384778447,1.58571119679702,1.69265649877193,0.010919530617191,0.00941905531087837,0.0124200059235037,2021-12-03
"723",2022-01-19,"Omicron",0.8,1.60268676878745,1.55247384376077,1.65289969381412,0.0117113295894601,0.0101878482769379,0.0132348109019824,2021-12-03
"724",2022-01-20,"Omicron",0.8,1.58762139352646,1.54125052787382,1.6339922591791,0.0124381893071714,0.0109398157339463,0.0139365628803965,2021-12-03
"725",2022-01-21,"Omicron",0.8,1.60328773554462,1.56634515567164,1.6402303154176,0.0114335249577222,0.0103318136756475,0.0125352362397969,2021-12-03
"726",2022-01-22,"Omicron",0.8,1.60268092573033,1.56594502671221,1.63941682474846,0.0113699551873298,0.0102787216842098,0.0124611886904498,2021-12-03
"727",2022-01-23,"Omicron",0.8,1.60268092573033,1.56594502671221,1.63941682474846,0.0113699551873298,0.0102787216842098,0.0124611886904498,2021-12-03
"728",2022-01-24,"Omicron",0.8,1.60248672366835,1.56589740098477,1.63907604635192,0.0113760637222282,0.0102874908097633,0.0124646366346931,2021-12-03
"729",2022-01-25,"Omicron",0.8,1.5120991706191,1.4683380382722,1.55586030296599,0.0142520027743759,0.0122833195168047,0.0162206860319471,2021-12-03
"730",2022-01-26,"Omicron",0.8,1.47631519550948,1.4405373392188,1.51209305180016,0.0163470602396475,0.0143148671856219,0.0183792532936731,2021-12-03
"731",2022-01-27,"Omicron",0.8,1.48427571224468,1.44699774780223,1.52155367668712,0.0157948774012327,0.0137503077865698,0.0178394470158955,2021-12-03
"732",2022-01-28,"Omicron",0.8,1.36903331193027,1.33413280597738,1.40393381788316,0.0215371294341655,0.0182281762118056,0.0248460826565255,2021-12-03
"733",2022-01-29,"Omicron",0.8,1.36903331193027,1.33413280597738,1.40393381788316,0.0215371294341655,0.0182281762118056,0.0248460826565255,2021-12-03
"734",2022-01-30,"Omicron",0.8,1.36903331193027,1.33413280597738,1.40393381788316,0.0215371294341655,0.0182281762118056,0.0248460826565255,2021-12-03
"735",2022-01-31,"Omicron",0.8,1.37265352500774,1.33848465400042,1.40682239601506,0.0213892487417563,0.0181713132722235,0.0246071842112891,2021-12-03
"736",2022-02-01,"Omicron",0.8,1.38469144548967,1.3539223275147,1.41546056346465,0.0204466440271383,0.017676946398549,0.0232163416557275,2021-12-03
"737",2022-02-02,"Omicron",0.8,1.38302748100926,1.350688354493,1.41536660752551,0.0207813512577181,0.0178255070382629,0.0237371954771734,2021-12-03
"738",2022-02-03,"Omicron",0.8,1.31487367490565,1.28632185824412,1.34342549156718,0.0248946287939758,0.0212304627609386,0.0285587948270131,2021-12-03
"739",2022-02-04,"Omicron",0.8,1.31248580320702,1.28280385851108,1.34216774790296,0.02552301383084,0.0216200950526349,0.0294259326090452,2021-12-03
"740",2022-02-05,"Omicron",0.8,1.3168735310739,1.28783957384921,1.34590748829859,0.0252424271567307,0.0214704618106261,0.0290143925028353,2021-12-03
"741",2022-02-06,"Omicron",0.8,1.3168735310739,1.28783957384921,1.34590748829859,0.0252424271567307,0.0214704618106261,0.0290143925028353,2021-12-03
"742",2022-02-07,"Omicron",0.8,1.3168735310739,1.28783957384921,1.34590748829859,0.0252424271567307,0.0214704618106261,0.0290143925028353,2021-12-03
"743",2022-02-08,"Omicron",0.8,1.31366044483032,1.28419019846343,1.3431306911972,0.0253626865127959,0.0215097104952739,0.0292156625303178,2021-12-03
"744",2022-02-09,"Omicron",0.8,1.31039830094261,1.28138564354597,1.33941095833924,0.0257880042051722,0.0219285312373132,0.0296474771730312,2021-12-03
"745",2022-02-10,"Omicron",0.8,1.25576494196379,1.22922446316861,1.28230542075898,0.0309076966641475,0.0260338802571558,0.0357815130711393,2021-12-03
"746",2022-02-11,"Omicron",0.8,1.25533059729716,1.22895324737357,1.28170794722075,0.0309582114416752,0.0261009339849798,0.0358154888983707,2021-12-03
"747",2022-02-12,"Omicron",0.8,1.25533059729716,1.22895324737357,1.28170794722075,0.0309582114416752,0.0261009339849798,0.0358154888983707,2021-12-03
"748",2022-02-13,"Omicron",0.8,1.25533059729716,1.22895324737357,1.28170794722075,0.0309582114416752,0.0261009339849798,0.0358154888983707,2021-12-03
"749",2022-02-14,"Omicron",0.8,1.25999665256581,1.23425344473386,1.28573986039777,0.0306544068324485,0.0259636451487233,0.0353451685161737,2021-12-03
"750",2022-02-15,"Omicron",0.8,1.25910165057787,1.23344091125731,1.28476238989842,0.0307401552958145,0.0260361388432227,0.0354441717484062,2021-12-03
"751",2022-02-16,"Omicron",0.8,1.25616840521612,1.23003326164001,1.28230354879224,0.0310937500052821,0.0262397296297203,0.035947770380844,2021-12-03
"752",2022-02-17,"Omicron",0.8,1.20068688331403,1.17841473911888,1.22295902750919,0.0376881485491093,0.0315869957370393,0.0437893013611793,2021-12-03
"753",2022-02-18,"Omicron",0.8,1.20068688331403,1.17841473911888,1.22295902750919,0.0376881485491093,0.0315869957370393,0.0437893013611793,2021-12-03
"754",2022-02-19,"Omicron",0.8,1.20068688331403,1.17841473911888,1.22295902750919,0.0376881485491093,0.0315869957370393,0.0437893013611793,2021-12-03
"755",2022-02-20,"Omicron",0.8,1.20068688331403,1.17841473911888,1.22295902750919,0.0376881485491093,0.0315869957370393,0.0437893013611793,2021-12-03
"756",2022-02-21,"Omicron",0.8,1.20068688331403,1.17841473911888,1.22295902750919,0.0376881485491093,0.0315869957370393,0.0437893013611793,2021-12-03
"757",2022-02-22,"Omicron",0.8,1.20050382960401,1.17831522753883,1.2226924316692,0.0377298665304792,0.0316318091382631,0.0438279239226953,2021-12-03
"758",2022-02-23,"Omicron",0.8,1.19814356953307,1.17575917371645,1.2205279653497,0.03800747662186,0.0318015227612054,0.0442134304825147,2021-12-03
"759",2022-02-24,"Omicron",0.8,1.16224350181195,1.14235943597401,1.18212756764988,0.0440889980622707,0.0367532773492106,0.0514247187753308,2021-12-03
"760",2022-02-25,"Omicron",0.8,1.16237441895526,1.14243818033623,1.18231065757429,0.0441716954851322,0.0368073888925359,0.0515360020777285,2021-12-03
"761",2022-02-26,"Omicron",0.8,1.16237441895526,1.14243818033623,1.18231065757429,0.0441716954851322,0.0368073888925359,0.0515360020777285,2021-12-03
"762",2022-02-27,"Omicron",0.8,1.16237441895526,1.14243818033623,1.18231065757429,0.0441716954851322,0.0368073888925359,0.0515360020777285,2021-12-03
"763",2022-02-28,"Omicron",0.8,1.16237441895526,1.14243818033623,1.18231065757429,0.0441716954851322,0.0368073888925359,0.0515360020777285,2021-12-03
"764",2022-03-01,"Omicron",0.8,1.1618157004402,1.14195081831682,1.18168058256358,0.0442157883381281,0.0368505414796409,0.0515810351966153,2021-12-03
"765",2022-03-02,"Omicron",0.8,1.16186059614564,1.14197830991592,1.18174288237537,0.0442479220057835,0.0368715828291137,0.0516242611824533,2021-12-03
"766",2022-03-03,"Omicron",0.8,1.16186059614564,1.14197830991592,1.18174288237537,0.0442479220057835,0.0368715828291137,0.0516242611824533,2021-12-03
"767",2022-03-04,"Omicron",0.8,1.16186059614564,1.14197830991592,1.18174288237537,0.0442479220057835,0.0368715828291137,0.0516242611824533,2021-12-03
"768",2022-03-05,"Omicron",0.8,1.16173386288836,1.14184706420285,1.18162066157387,0.0442941823400876,0.0369048631420552,0.05168350153812,2021-12-03
"769",2022-03-06,"Omicron",0.8,1.16173386288836,1.14184706420285,1.18162066157387,0.0442941823400876,0.0369048631420552,0.05168350153812,2021-12-03
"770",2022-03-07,"Omicron",0.8,1.14744030949051,1.12926494036782,1.16561567861319,0.0470962721552961,0.0393878573663622,0.05480468694423,2021-12-03
"771",2022-03-08,"Omicron",0.8,1.14636233819509,1.12832097489424,1.16440370149594,0.0472171575251188,0.0395337497740687,0.0549005652761689,2021-12-03
"772",2022-03-09,"Omicron",0.8,1.14514203584986,1.12692260090184,1.16336147079788,0.0474591614918916,0.0396556460886433,0.0552626768951398,2021-12-03
"773",2022-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774",2022-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"775",2022-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776",2022-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777",2022-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA
